company,city,state,source,source_id,provenance_url,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,script_cfo,script_facilities,script_sustainability,pitch_angle
"Sunoco, Inc. (R&S) Eagle Point Facility","Westville","NJ","epa_ghgrp","epa-1001321","https://ghgdata.epa.gov/ghgp/main.do#/facilityDetail?facilityId=epa-1001321","493120","Warehousing / Cold Storage","96","very_high","corporate","direct_purchase","flat_24_7","2000","3013440","512285","","9221130","We help cold-storage facilities offset up to 40% of their peak refrigeration energy costs without changing operations. Worth a 15-minute call?","Your refrigeration is your single largest opex line item. A rooftop solar system locks in 40% of that cost at a fixed rate for 25 years — with full ITC + MACRS depreciation hitting your balance sheet in year one. Worth 15 minutes to see the model?","We specialize in cold-storage rooftop solar that installs without disrupting your temperature zones. Your roof membrane stays intact, and peak demand charges drop immediately. Can I walk you through how it works on a facility like yours?","Cold storage is one of the highest-emitting commercial verticals — but also one of the easiest to decarbonize with rooftop solar. We can help you cut Scope 2 emissions 30-50% without changing operations. Worth a quick conversation?","Refrigerated warehousing — 2022 EPA GHG Reporter. NAICS 493190. Pre-qualified high-energy solar candidate."
"Buckeye Port Reading Terminal","Pt. Reading","NJ","epa_ghgrp","epa-1007595","https://ghgdata.epa.gov/ghgp/main.do#/facilityDetail?facilityId=epa-1007595","493120","Warehousing / Cold Storage","96","very_high","corporate","direct_purchase","flat_24_7","2000","3013440","512285","","9221130","We help cold-storage facilities offset up to 40% of their peak refrigeration energy costs without changing operations. Worth a 15-minute call?","Your refrigeration is your single largest opex line item. A rooftop solar system locks in 40% of that cost at a fixed rate for 25 years — with full ITC + MACRS depreciation hitting your balance sheet in year one. Worth 15 minutes to see the model?","We specialize in cold-storage rooftop solar that installs without disrupting your temperature zones. Your roof membrane stays intact, and peak demand charges drop immediately. Can I walk you through how it works on a facility like yours?","Cold storage is one of the highest-emitting commercial verticals — but also one of the easiest to decarbonize with rooftop solar. We can help you cut Scope 2 emissions 30-50% without changing operations. Worth a quick conversation?","Refrigerated warehousing — 2022 EPA GHG Reporter. NAICS 493190. Pre-qualified high-energy solar candidate."
"US Cold Storage — Vineland","Vineland","NJ","auto_seed","solar-cs-004","","493120","Warehousing / Cold Storage","96","very_high","corporate","direct_purchase","flat_24_7","2000","3013440","512285","","9221130","We help cold-storage facilities offset up to 40% of their peak refrigeration energy costs without changing operations. Worth a 15-minute call?","Your refrigeration is your single largest opex line item. A rooftop solar system locks in 40% of that cost at a fixed rate for 25 years — with full ITC + MACRS depreciation hitting your balance sheet in year one. Worth 15 minutes to see the model?","We specialize in cold-storage rooftop solar that installs without disrupting your temperature zones. Your roof membrane stays intact, and peak demand charges drop immediately. Can I walk you through how it works on a facility like yours?","Cold storage is one of the highest-emitting commercial verticals — but also one of the easiest to decarbonize with rooftop solar. We can help you cut Scope 2 emissions 30-50% without changing operations. Worth a quick conversation?","NJ TREC + ITC stack — refrigerated warehouse with battery-pairing opportunity"
"Cvs Distribution Center","Nj-Phila Port","NJ","osm_industrial","osm-31068729","https://www.openstreetmap.org/way/osm-31068729","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Radwell International","Nj-Phila Port","NJ","osm_industrial","osm-31068746","https://www.openstreetmap.org/way/osm-31068746","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Simkar","Nj-Phila Port","NJ","osm_industrial","osm-177317554","https://www.openstreetmap.org/way/osm-177317554","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Pier 78 Annex","Nj-Phila Port","NJ","osm_industrial","osm-226298571","https://www.openstreetmap.org/way/osm-226298571","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Cube Smart","Nj-Phila Port","NJ","osm_industrial","osm-385417303","https://www.openstreetmap.org/way/osm-385417303","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Nfi","Cherry Hill","NJ","osm_industrial","osm-391070654","https://www.openstreetmap.org/way/osm-391070654","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Holman Parts Distribution","Nj-Phila Port","NJ","osm_industrial","osm-614803327","https://www.openstreetmap.org/way/osm-614803327","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Large flat-roof warehouses have the lowest $/W install cost in commercial solar — we typically see 4-year payback after ITC + MACRS. Worth a quick site-specific estimate?","Your roof is the ideal solar substrate — large, flat, unobstructed. We install without disrupting warehouse operations and connect at ground-level switchgear. Quick call to walk through the layout?","Warehouse Scope 2 emissions are an easy win — your flat-roof footprint generates enough solar to offset 60-80% of your grid consumption with zero operational changes.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
